tavg,pres,target_1,target_2,target_3,target_4,target_5,target_6,target_7,rolling_3_prcp,rolling_14_tmax,rolling_14_tmax_pct,day_avg_tmax,month_avg_tmin,day_avg_tmin,month_avg_prcp
11.7,1025.6,9.6,13.0,12.4,13.0,16.0,20.0,14.0,2.2666666666666666,12.242857142857144,0.2578763127187864,15.4,4.5,10.0,1.7
7.7,1026.6,13.0,12.4,13.0,16.0,20.0,14.0,10.0,4.066666666666666,11.857142857142858,-0.1903614457831326,9.6,5.0,7.0,2.44
10.8,1014.8,12.4,13.0,16.0,20.0,14.0,10.0,9.0,4.166666666666667,12.214285714285714,0.06432748538011702,13.0,5.366666666666667,7.2,2.0833333333333335
10.3,1016.1,13.0,16.0,20.0,14.0,10.0,9.0,15.0,1.9666666666666668,12.457142857142857,-0.004587155963302736,12.4,5.785714285714286,8.3,1.8142857142857143
10.8,1018.0,16.0,20.0,14.0,10.0,9.0,15.0,23.0,0.3333333333333333,12.814285714285715,0.014492753623188354,13.0,6.1625,8.8,1.65
13.7,1011.9,20.0,14.0,10.0,9.0,15.0,23.0,13.0,7.0,13.671428571428573,0.1703239289446185,16.0,6.666666666666667,10.7,3.7222222222222223
15.9,1005.0,14.0,10.0,9.0,15.0,23.0,13.0,14.0,8.966666666666667,14.457142857142857,0.383399209486166,20.0,7.109999999999999,11.1,3.96
8.4,1013.5,10.0,9.0,15.0,23.0,13.0,14.0,17.0,8.833333333333334,14.671428571428573,-0.045764362220058495,14.0,6.736363636363635,3.0,3.6090909090909093
6.0,1026.4,9.0,15.0,23.0,13.0,14.0,17.0,21.0,2.3666666666666667,14.242857142857144,-0.2978936810431294,10.0,6.341666666666666,2.0,3.3833333333333333
4.0,1034.9,15.0,23.0,13.0,14.0,17.0,21.0,17.0,0.3333333333333333,13.671428571428573,-0.3416927899686521,9.0,5.776923076923077,-1.0,3.123076923076923
9.9,1023.9,23.0,13.0,14.0,17.0,21.0,17.0,14.0,0.3,13.957142857142857,0.07471852610030705,15.0,5.471428571428571,1.5,2.9
16.8,1009.0,13.0,14.0,17.0,21.0,17.0,14.0,13.0,1.3,14.671428571428573,0.5676728334956181,23.0,5.873333333333333,11.5,2.966666666666667
9.0,1023.0,14.0,17.0,21.0,17.0,14.0,13.0,14.0,1.3,14.528571428571428,-0.10521140609636184,13.0,5.81875,5.0,2.78125
7.4,1029.6,17.0,21.0,17.0,14.0,13.0,14.0,19.0,1.3,14.1,-0.007092198581560258,14.0,1.0,1.0,0.0
