date,tmax,tmin,tavg,prcp
2023-08-21,40.1,28.3,34.6,0.0
2023-08-22,39.6,29.1,34.4,0.0
2023-08-23,39.6,28.8,34.5,0.0
2023-08-24,40.5,30.5,35.2,0.0
2023-08-25,41.7,30.1,36.0,0.0
2023-08-26,41.7,31.1,36.6,0.1
2023-08-27,37.3,26.8,31.3,4.9
2023-08-28,34.5,25.5,29.8,0.0
2023-08-29,36.5,24.9,30.2,0.0
2023-08-30,37.5,25.3,31.0,0.0
2023-08-31,36.7,24.0,30.3,0.0
2023-09-01,36.0,24.7,30.4,0.0
2023-09-02,35.7,22.4,29.7,0.0
2023-09-03,35.4,23.0,28.8,3.9
2023-09-04,36.9,26.5,31.0,1.4
2023-09-05,39.2,26.6,33.0,0.0
2023-09-06,39.0,28.4,33.7,0.0
2023-09-07,41.0,27.1,34.7,0.0
2023-09-08,41.3,29.0,34.7,0.1
2023-09-09,35.0,23.9,29.7,0.1
2023-09-10,34.4,23.0,28.3,0.0
2023-09-11,33.6,22.7,27.4,0.0
2023-09-12,29.7,22.5,25.7,3.4
2023-09-13,27.8,21.8,24.3,4.6
2023-09-14,25.8,21.0,22.7,24.8
2023-09-15,28.6,20.0,23.5,2.0
2023-09-16,28.4,20.3,24.2,0.2
2023-09-17,30.8,20.5,25.6,0.0
2023-09-18,33.2,18.9,26.6,0.0
2023-09-19,34.6,23.2,28.3,1.7
2023-09-20,34.3,23.1,27.9,0.4
2023-09-21,33.2,24.7,28.1,11.1
2023-09-22,35.9,24.3,29.2,4.4
2023-09-23,35.8,25.8,30.0,0.0
2023-09-24,36.1,24.7,29.9,3.7
2023-09-25,31.4,22.0,26.2,1.5
2023-09-26,33.0,21.3,27.4,0.0
2023-09-27,33.5,21.4,27.5,0.0
2023-09-28,35.6,21.8,28.8,0.0
2023-09-29,35.4,23.7,29.0,0.0
2023-09-30,35.5,23.1,28.8,0.0
2023-10-01,33.6,21.1,27.4,0.0
2023-10-02,33.4,21.9,27.1,0.0
2023-10-03,32.5,22.2,27.1,0.0
2023-10-04,31.8,23.6,26.8,66.5
2023-10-05,27.5,21.3,23.6,18.9
2023-10-06,28.9,17.9,22.9,0.0
2023-10-07,20.4,14.6,17.2,0.0
2023-10-08,24.6,11.6,17.9,0.0
2023-10-09,30.3,17.0,23.0,0.0
2023-10-10,29.6,19.5,24.1,0.0
2023-10-11,26.3,19.8,22.3,0.0
2023-10-12,27.9,17.6,21.6,0.0
2023-10-13,26.6,19.1,23.0,0.1
2023-10-14,22.2,12.8,17.5,0.0
2023-10-15,20.2,12.1,15.6,0.0
2023-10-16,18.2,9.2,13.5,0.0
2023-10-17,22.5,7.4,15.2,0.0
2023-10-18,27.3,14.0,20.1,0.0
2023-10-19,28.7,13.7,21.7,0.0
2023-10-20,33.0,17.3,23.5,0.0
2023-10-21,33.4,16.4,24.4,0.0
2023-10-22,30.1,19.6,24.7,0.0
2023-10-23,27.3,20.6,23.3,15.2
2023-10-24,26.7,21.1,22.8,27.5
2023-10-25,27.7,21.4,23.3,27.9
2023-10-26,28.0,21.3,23.8,25.5
2023-10-27,28.4,19.1,24.0,10.9
2023-10-28,22.8,17.2,19.9,29.2
2023-10-29,16.8,6.2,10.7,21.4
2023-10-30,9.9,3.9,7.2,6.3
2023-10-31,14.3,1.7,8.3,0.0
2023-11-01,11.2,1.1,6.4,0.0
2023-11-02,15.7,2.9,9.2,0.0
2023-11-03,21.0,8.4,14.4,0.0
2023-11-04,23.0,13.2,17.5,0.0
2023-11-05,25.9,15.0,19.9,0.0
2023-11-06,26.7,18.2,22.0,0.0
2023-11-07,28.5,17.8,23.0,0.0
2023-11-08,28.6,19.4,23.7,0.0
2023-11-09,23.6,12.2,16.9,19.1
2023-11-10,17.9,11.3,13.9,3.8
2023-11-11,16.4,12.5,14.4,0.0
2023-11-12,18.6,12.0,15.4,0.0
2023-11-13,19.8,11.1,14.8,0.5
2023-11-14,20.2,9.5,14.6,0.0
2023-11-15,21.2,8.8,14.4,0.0
2023-11-16,19.6,11.6,15.2,0.0
2023-11-17,17.8,12.3,15.0,0.1
2023-11-18,20.6,14.2,16.6,0.0
2023-11-19,20.2,11.8,16.0,6.4
2023-11-20,23.4,14.0,19.0,0.1
2023-11-21,14.9,9.4,12.2,0.0
2023-11-22,14.5,3.7,8.8,0.0
2023-11-23,16.7,5.1,9.8,0.0
2023-11-24,16.0,4.7,10.2,0.0
2023-11-25,16.2,5.8,10.9,7.8
2023-11-26,11.7,2.6,7.6,0.3
2023-11-27,10.9,-0.7,5.8,0.0
2023-11-28,15.5,2.8,8.9,0.0
2023-11-29,17.0,5.4,11.6,0.0
2023-11-30,17.6,12.6,14.9,64.2
2023-12-01,14.9,6.5,10.6,0.0
2023-12-02,15.6,4.2,9.6,0.0
2023-12-03,20.7,4.8,12.7,0.0
2023-12-04,15.0,5.9,10.9,0.0
2023-12-05,18.4,4.3,10.9,0.0
2023-12-06,16.6,5.5,10.9,0.0
2023-12-07,20.7,9.3,14.7,0.0
2023-12-08,25.1,15.5,19.4,0.0
2023-12-09,18.4,9.2,14.3,0.0
2023-12-10,11.2,2.8,7.0,0.0
2023-12-11,16.6,2.6,9.0,0.0
2023-12-12,17.0,4.6,10.6,0.0
2023-12-13,13.6,8.9,10.9,0.0
2023-12-14,17.1,6.6,11.4,0.4
2023-12-15,15.0,10.0,12.5,15.4
2023-12-16,14.4,5.1,8.8,0.0
2023-12-17,19.1,3.3,10.4,0.0
2023-12-18,15.8,6.4,10.1,0.0
2023-12-19,13.8,3.1,8.0,0.0
2023-12-20,19.0,7.7,12.7,0.0
2023-12-21,15.9,13.1,14.2,11.4
2023-12-22,20.9,13.1,15.9,3.5
2023-12-23,19.3,13.1,16.0,10.7
2023-12-24,19.4,9.5,16.0,34.2
2023-12-25,9.9,3.6,6.7,0.0
2023-12-26,12.8,0.4,6.3,0.0
2023-12-27,9.5,3.3,6.0,0.0
2023-12-28,9.2,1.6,5.1,0.0
2023-12-29,11.6,0.3,5.3,0.0
2023-12-30,16.1,1.0,7.7,0.0
2023-12-31,16.7,4.4,9.9,0.0
2024-01-01,8.7,0.1,4.0,0.0
2024-01-02,8.8,0.7,4.5,9.0
2024-01-03,12.0,5.5,7.7,0.3
2024-01-04,14.1,2.2,8.0,0.0
2024-01-05,14.9,6.0,9.5,7.2
2024-01-06,11.9,3.6,7.0,0.0
2024-01-07,14.4,0.7,7.6,0.0
2024-01-08,16.2,6.6,11.9,8.8
2024-01-09,8.6,1.0,4.4,0.0
2024-01-10,17.2,1.3,9.0,0.0
2024-01-11,19.7,4.2,12.5,0.0
2024-01-12,15.3,-2.1,4.7,1.2
2024-01-13,15.1,-3.5,4.8,0.0
2024-01-14,-4.3,-10.6,-7.4,0.2
2024-01-15,-2.3,-11.8,-7.8,0.1
2024-01-16,-3.4,-10.9,-7.3,0.0
2024-01-17,5.3,-8.3,-2.0,0.0
2024-01-18,12.6,1.2,5.1,0.0
2024-01-19,3.8,-3.8,-0.8,0.0
2024-01-20,1.8,-6.7,-3.0,0.0
2024-01-21,2.3,-2.6,0.0,1.8
2024-01-22,8.8,1.2,4.5,43.3
2024-01-23,11.8,5.9,8.4,3.9
2024-01-24,10.5,6.7,8.6,1.2
2024-01-25,15.8,6.3,10.1,3.5
2024-01-26,15.6,3.8,9.6,6.8
2024-01-27,11.4,4.1,8.2,7.9
2024-01-28,15.0,-0.1,6.8,0.0
2024-01-29,20.0,5.1,11.0,0.0
2024-01-30,21.5,6.9,13.0,0.0
2024-01-31,21.4,6.3,13.2,0.0
2024-02-01,20.8,10.5,15.3,0.4
2024-02-02,19.3,12.6,15.6,4.9
2024-02-03,19.8,9.6,15.1,17.1
2024-02-04,14.8,7.7,11.1,1.6
2024-02-05,15.5,8.7,11.4,0.0
2024-02-06,16.8,2.8,9.9,0.0
2024-02-07,18.6,9.1,13.7,0.0
2024-02-08,21.2,14.2,17.0,0.1
2024-02-09,22.4,11.1,16.2,1.7
2024-02-10,14.5,11.3,13.0,16.6
2024-02-11,11.1,5.2,9.4,9.2
2024-02-12,12.6,4.3,7.2,0.0
