date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01 00:00:00,4,,,,,,15.3,,,
2021-01-02 00:00:00,6.5,3,12,0,,,9.6,,1021.5,
2021-01-03 00:00:00,9.5,3,18,0,,,9.2,,1016.1,
2021-01-04 00:00:00,10.5,4.9,18,0,,,5.7,,1018.6,
2021-01-05 00:00:00,11.2,3.6,19,0,,,10.3,,1020,
2021-01-06 00:00:00,11.6,6.9,15,4.1,,,22.2,,1013.2,
2021-01-07 00:00:00,7.4,5.6,8,0,,,21,,1019.8,
2021-01-08 00:00:00,6,2.3,9,0,,,12,,1027.1,
2021-01-09 00:00:00,3.9,-0.4,8,0,,,8.1,,1028.1,
2021-01-10 00:00:00,2.7,1,4,3.6,,,10,,1028.7,
2021-01-11 00:00:00,3.7,-0.1,9,0,,,7.9,,1030.1,
2021-01-12 00:00:00,4.9,-2.3,11,0,,,4.9,,1028.3,
2021-01-13 00:00:00,8.3,-0.7,16,0,,,10.9,,1019.5,
2021-01-14 00:00:00,10.5,6,17,0,,,19.9,,1012.9,
2021-01-15 00:00:00,7.6,4.3,11,0,,,19,,1018.1,
2021-01-16 00:00:00,7.3,1,13,0,,,7.6,,1019.1,
2021-01-17 00:00:00,8.8,3.8,15,0,,,6.2,,1019.4,
2021-01-18 00:00:00,11.8,3.2,20,0,,,14,,1016,
2021-01-19 00:00:00,11.7,10,15.4,6.8,,,19.4,,1025.6,
2021-01-20 00:00:00,7.7,7,9.6,5.4,,,7,,1026.6,
2021-01-21 00:00:00,10.8,7.2,13,0.3,,,8.1,,1014.8,
2021-01-22 00:00:00,10.3,8.3,12.4,0.2,,,13.9,,1016.1,
2021-01-23 00:00:00,10.8,8.8,13,0.5,,,11.6,,1018,
2021-01-24 00:00:00,13.7,10.7,16,20.3,,,13,,1011.9,
2021-01-25 00:00:00,15.9,11.1,20,6.1,,,14.6,,1005,
2021-01-26 00:00:00,8.4,3,14,0.1,,,12,,1013.5,
2021-01-27 00:00:00,6,2,10,0.9,,,16.6,,1026.4,
2021-01-28 00:00:00,4,-1,9,0,,,8.5,,1034.9,
2021-01-29 00:00:00,9.9,1.5,15,0,,,16.3,,1023.9,
2021-01-30 00:00:00,16.8,11.5,23,3.9,,,23.5,,1009,
2021-01-31 00:00:00,9,5,13,0,,,23.5,,1023,
2021-02-01 00:00:00,7.4,1,14,0,,,9.2,,1029.6,
2021-02-02 00:00:00,10.9,2.5,17,0,,,12.4,,1023.4,
2021-02-03 00:00:00,14.1,6.3,21,0,,,24,,1014.8,
2021-02-04 00:00:00,14.4,8.2,17,0,,,21,,1009.7,
2021-02-05 00:00:00,9,3.8,14,0,,,10.6,,1015.4,
2021-02-06 00:00:00,8.3,5.1,13,0.9,,,16.8,,1012.8,
2021-02-07 00:00:00,7.9,1.9,14,0,,,14.2,,1017,
2021-02-08 00:00:00,11.1,4.5,19,0.6,,,18.4,,1014.2,
2021-02-09 00:00:00,1.5,-1,7.6,0,,,14.9,,1020.6,
2021-02-10 00:00:00,-0.6,-2.7,2.6,3.2,,,18.1,,1021.2,
2021-02-11 00:00:00,-2.9,-4,-1,0.4,,,19.1,,1022.8,
2021-02-12 00:00:00,-4.5,-5.5,-4,0,,,20.4,,1025.2,
2021-02-13 00:00:00,-4.1,-7,1,0,,,20.8,,1024.8,
