tavg,tmin,tmax,pres,target
6.5,3.0,12.0,1021.5,18.0
9.5,3.0,18.0,1016.1,18.0
10.5,4.9,18.0,1018.6,19.0
11.2,3.6,19.0,1020.0,15.0
11.6,6.9,15.0,1013.2,8.0
7.4,5.6,8.0,1019.8,9.0
6.0,2.3,9.0,1027.1,8.0
3.9,-0.4,8.0,1028.1,4.0
2.7,1.0,4.0,1028.7,9.0
3.7,-0.1,9.0,1030.1,11.0
4.9,-2.3,11.0,1028.3,16.0
8.3,-0.7,16.0,1019.5,17.0
10.5,6.0,17.0,1012.9,11.0
7.6,4.3,11.0,1018.1,13.0
7.3,1.0,13.0,1019.1,15.0
8.8,3.8,15.0,1019.4,20.0
11.8,3.2,20.0,1016.0,15.4
11.7,10.0,15.4,1025.6,9.6
7.7,7.0,9.6,1026.6,13.0
10.8,7.2,13.0,1014.8,12.4
10.3,8.3,12.4,1016.1,13.0
10.8,8.8,13.0,1018.0,16.0
13.7,10.7,16.0,1011.9,20.0
15.9,11.1,20.0,1005.0,14.0
8.4,3.0,14.0,1013.5,10.0
6.0,2.0,10.0,1026.4,9.0
4.0,-1.0,9.0,1034.9,15.0
9.9,1.5,15.0,1023.9,23.0
16.8,11.5,23.0,1009.0,13.0
9.0,5.0,13.0,1023.0,14.0
7.4,1.0,14.0,1029.6,17.0
10.9,2.5,17.0,1023.4,21.0
14.1,6.3,21.0,1014.8,17.0
14.4,8.2,17.0,1009.7,14.0
9.0,3.8,14.0,1015.4,13.0
8.3,5.1,13.0,1012.8,14.0
7.9,1.9,14.0,1017.0,19.0
11.1,4.5,19.0,1014.2,7.6
1.5,-1.0,7.6,1020.6,2.6
-0.6,-2.7,2.6,1021.2,-1.0
-2.9,-4.0,-1.0,1022.8,-4.0
-4.5,-5.5,-4.0,1025.2,1.0
-4.1,-7.0,1.0,1024.8,-5.7
-9.3,-12.6,-5.7,1027.0,-11.0
-13.1,-16.3,-11.0,1028.9,-7.6
-12.0,-19.4,-7.6,1025.4,-3.0
-4.6,-7.2,-3.0,1021.7,-1.0
-4.1,-8.1,-1.0,1029.9,4.0
-3.2,-10.8,4.0,1033.3,13.0
3.9,-5.4,13.0,1025.6,22.0
12.5,6.7,22.0,1017.8,21.0
12.0,1.7,21.0,1022.7,26.0
17.8,8.0,26.0,1015.4,21.0
17.2,12.9,21.0,1015.2,11.4
9.3,7.3,11.4,1021.7,14.0
11.0,7.7,14.0,1014.7,21.5
16.1,10.4,21.5,1011.2,24.0
18.1,10.4,24.0,1011.8,14.0
10.6,7.0,14.0,1023.3,16.0
11.2,5.0,16.0,1024.7,20.0
13.1,4.2,20.0,1020.8,22.0
15.7,8.1,22.0,1018.0,20.0
14.7,11.0,20.0,1015.7,17.0
12.0,6.9,17.0,1026.6,19.0
13.3,6.5,19.0,1028.5,21.0
14.9,6.9,21.0,1028.4,22.0
17.8,12.8,22.0,1022.6,23.0
20.0,15.5,23.0,1016.3,25.0
22.4,19.1,25.0,1017.2,26.0
22.1,17.6,26.0,1020.0,25.0
21.7,18.5,25.0,1017.3,22.0
17.6,13.0,22.0,1011.7,26.0
18.1,10.4,26.0,1010.6,27.0
21.3,16.5,27.0,1008.3,21.6
16.5,8.0,21.6,1007.1,16.0
10.2,6.0,16.0,1021.8,18.0
11.2,5.0,18.0,1026.7,19.0
14.0,8.0,19.0,1025.8,21.0
14.1,8.0,21.0,1020.6,18.0
15.1,12.0,18.0,1010.4,23.0
15.9,9.8,23.0,1007.0,25.0
17.4,12.0,25.0,1008.5,20.0
14.5,10.7,20.0,1009.5,26.0
18.4,11.5,26.0,1013.4,26.0
21.0,16.5,26.0,1011.8,21.0
